Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Grant Calcaterra (39560068),Grant Calcaterra,39560068,CPT,3600,DAL@PHI 09/04/2025 08:20PM ET,PHI,2.91
WR,Jalen Tolbert (39560001),Jalen Tolbert,39560001,FLEX,3400,DAL@PHI 09/04/2025 08:20PM ET,DAL,8.94
WR,Jahan Dotson (39560002),Jahan Dotson,39560002,FLEX,3200,DAL@PHI 09/04/2025 08:20PM ET,PHI,2.68
RB,A.J. Dillon (39560003),A.J. Dillon,39560003,FLEX,3000,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
RB,Will Shipley (39560069),Will Shipley,39560069,CPT,3000,DAL@PHI 09/04/2025 08:20PM ET,PHI,1.47
WR,KaVontae Turpin (39560004),KaVontae Turpin,39560004,FLEX,2800,DAL@PHI 09/04/2025 08:20PM ET,DAL,6.19
WR,Terrace Marshall (39560005),Terrace Marshall,39560005,FLEX,2600,DAL@PHI 09/04/2025 08:20PM ET,PHI,1.01
TE,Grant Calcaterra (39560006),Grant Calcaterra,39560006,FLEX,2400,DAL@PHI 09/04/2025 08:20PM ET,PHI,2.91
TE,Luke Schoonmaker (39560070),Luke Schoonmaker,39560070,CPT,2400,DAL@PHI 09/04/2025 08:20PM ET,DAL,3.36
RB,Will Shipley (39560007),Will Shipley,39560007,FLEX,2000,DAL@PHI 09/04/2025 08:20PM ET,PHI,1.47
WR,Jonathan Mingo (39560071),Jonathan Mingo,39560071,CPT,1800,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.95
TE,Luke Schoonmaker (39560008),Luke Schoonmaker,39560008,FLEX,1600,DAL@PHI 09/04/2025 08:20PM ET,DAL,3.36
RB,Phil Mafah (39560072),Phil Mafah,39560072,CPT,1500,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Jonathan Mingo (39560009),Jonathan Mingo,39560009,FLEX,1200,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.95
RB,Deuce Vaughn (39560073),Deuce Vaughn,39560073,CPT,1200,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.69
RB,Phil Mafah (39560010),Phil Mafah,39560010,FLEX,1000,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Ainias Smith (39560074),Ainias Smith,39560074,CPT,900,DAL@PHI 09/04/2025 08:20PM ET,PHI,2.53
RB,Deuce Vaughn (39560011),Deuce Vaughn,39560011,FLEX,800,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.69
WR,Ainias Smith (39560012),Ainias Smith,39560012,FLEX,600,DAL@PHI 09/04/2025 08:20PM ET,PHI,2.53
RB,Hunter Luepke (39560075),Hunter Luepke,39560075,CPT,600,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.68
RB,Hunter Luepke (39560013),Hunter Luepke,39560013,FLEX,400,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.68
WR,Jalen Brooks (39560076),Jalen Brooks,39560076,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,2.55
WR,Parris Campbell (39560077),Parris Campbell,39560077,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.88
TE,Kylen Granson (39560078),Kylen Granson,39560078,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,1.89
WR,Ryan Flournoy (39560079),Ryan Flournoy,39560079,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.74
TE,Harrison Bryant (39560080),Harrison Bryant,39560080,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,1.35
TE,Brevyn Spann-Ford (39560081),Brevyn Spann-Ford,39560081,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.05
WR,Johnny Wilson (39560082),Johnny Wilson,39560082,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0.74
TE,E.J. Jenkins (39560083),E.J. Jenkins,39560083,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0.64
RB,Ben VanSumeren (39560084),Ben VanSumeren,39560084,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0.27
WR,Ife Adeyi (39560085),Ife Adeyi,39560085,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Josh Kelly (39560086),Josh Kelly,39560086,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Traeshon Holden (39560087),Traeshon Holden,39560087,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Giles Jackson (39560088),Giles Jackson,39560088,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Jalen Cropper (39560089),Jalen Cropper,39560089,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Darius Cooper (39560090),Darius Cooper,39560090,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Taylor Morin (39560091),Taylor Morin,39560091,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
RB,ShunDerrick Powell (39560092),ShunDerrick Powell,39560092,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Elijah Cooks (39560093),Elijah Cooks,39560093,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Nick Muse (39560094),Nick Muse,39560094,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Tyler Neville (39560095),Tyler Neville,39560095,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
RB,Montrell Johnson Jr. (39560096),Montrell Johnson Jr.,39560096,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Cameron Latu (39560097),Cameron Latu,39560097,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Rivaldo Fairweather (39560098),Rivaldo Fairweather,39560098,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
RB,Keilan Robinson (39560099),Keilan Robinson,39560099,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Princeton Fant (39560100),Princeton Fant,39560100,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Avery Williams (39560101),Avery Williams,39560101,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,John Stephens Jr. (39560102),John Stephens Jr.,39560102,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Danny Gray (39560103),Danny Gray,39560103,CPT,300,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Jalen Brooks (39560014),Jalen Brooks,39560014,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,2.55
WR,Parris Campbell (39560015),Parris Campbell,39560015,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.88
TE,Kylen Granson (39560016),Kylen Granson,39560016,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,1.89
WR,Ryan Flournoy (39560017),Ryan Flournoy,39560017,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.74
TE,Harrison Bryant (39560018),Harrison Bryant,39560018,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,1.35
TE,Brevyn Spann-Ford (39560019),Brevyn Spann-Ford,39560019,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,1.05
WR,Johnny Wilson (39560020),Johnny Wilson,39560020,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0.74
TE,E.J. Jenkins (39560021),E.J. Jenkins,39560021,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0.64
RB,Ben VanSumeren (39560022),Ben VanSumeren,39560022,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0.27
WR,Ife Adeyi (39560023),Ife Adeyi,39560023,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Josh Kelly (39560024),Josh Kelly,39560024,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Traeshon Holden (39560025),Traeshon Holden,39560025,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Giles Jackson (39560026),Giles Jackson,39560026,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Jalen Cropper (39560027),Jalen Cropper,39560027,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Darius Cooper (39560028),Darius Cooper,39560028,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Taylor Morin (39560029),Taylor Morin,39560029,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
RB,ShunDerrick Powell (39560030),ShunDerrick Powell,39560030,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
WR,Elijah Cooks (39560031),Elijah Cooks,39560031,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Nick Muse (39560032),Nick Muse,39560032,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Tyler Neville (39560033),Tyler Neville,39560033,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
RB,Montrell Johnson Jr. (39560034),Montrell Johnson Jr.,39560034,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Cameron Latu (39560035),Cameron Latu,39560035,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Rivaldo Fairweather (39560036),Rivaldo Fairweather,39560036,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
RB,Keilan Robinson (39560037),Keilan Robinson,39560037,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,Princeton Fant (39560038),Princeton Fant,39560038,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Avery Williams (39560039),Avery Williams,39560039,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
TE,John Stephens Jr. (39560040),John Stephens Jr.,39560040,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
WR,Danny Gray (39560041),Danny Gray,39560041,FLEX,200,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
